threshold,plateau_lower_exclusive,plateau_upper_inclusive,tp,fp,fn,tn,precision,recall,f1,accuracy
0.03146042,,0.03146042,19,10,0,0,0.65517241,1.0,0.79166667,0.65517241
0.06057159,0.03146042,0.08968277,19,9,0,1,0.67857143,1.0,0.80851064,0.68965517
0.10006937,0.08968277,0.11045597,19,8,0,2,0.7037037,1.0,0.82608696,0.72413793
0.17809585,0.11045597,0.24573573,19,7,0,3,0.73076923,1.0,0.84444444,0.75862069
0.25661057,0.24573573,0.26748541,19,6,0,4,0.76,1.0,0.86363636,0.79310345
0.31373855,0.26748541,0.3599917,19,5,0,5,0.79166667,1.0,0.88372093,0.82758621
0.38613738,0.3599917,0.41228306,19,4,0,6,0.82608696,1.0,0.9047619,0.86206897
0.41744401,0.41228306,0.42260495,19,3,0,7,0.86363636,1.0,0.92682927,0.89655172
0.43648474,0.42260495,0.45036453,19,2,0,8,0.9047619,1.0,0.95,0.93103448
0.4656456,0.45036453,0.48092666,18,2,1,8,0.9,0.94736842,0.92307692,0.89655172
0.5229203,0.48092666,0.56491393,17,2,2,8,0.89473684,0.89473684,0.89473684,0.86206897
0.57055509,0.56491393,0.57619625,17,1,2,9,0.94444444,0.89473684,0.91891892,0.89655172
0.61157104,0.57619625,0.64694583,16,1,3,9,0.94117647,0.84210526,0.88888889,0.86206897
0.66022184,0.64694583,0.67349786,15,1,4,9,0.9375,0.78947368,0.85714286,0.82758621
0.73649833,0.67349786,0.7994988,14,1,5,9,0.93333333,0.73684211,0.82352941,0.79310345
0.80442959,0.7994988,0.80936038,13,1,6,9,0.92857143,0.68421053,0.78787879,0.75862069
0.8134101,0.80936038,0.81745982,12,1,7,9,0.92307692,0.63157895,0.75,0.72413793
0.82012415,0.81745982,0.82278848,11,1,8,9,0.91666667,0.57894737,0.70967742,0.68965517
0.82345638,0.82278848,0.82412428,10,1,9,9,0.90909091,0.52631579,0.66666667,0.65517241
0.82904172,0.82412428,0.83395916,9,1,10,9,0.9,0.47368421,0.62068966,0.62068966
0.83721927,0.83395916,0.84047937,8,1,11,9,0.88888889,0.42105263,0.57142857,0.5862069
0.84216982,0.84047937,0.84386027,7,1,12,9,0.875,0.36842105,0.51851852,0.55172414
0.88023594,0.84386027,0.91661161,6,1,13,9,0.85714286,0.31578947,0.46153846,0.51724138
0.92840105,0.91661161,0.94019049,6,0,13,10,1.0,0.31578947,0.48,0.55172414
0.97009525,0.94019049,1.0,5,0,14,10,1.0,0.26315789,0.41666667,0.51724138
1.00000006,1.0,1.00000012,1,0,18,10,1.0,0.05263158,0.1,0.37931034
1.00000012,1.00000012,,0,0,19,10,0.0,0.0,0.0,0.34482759
