operation_threshold,plateau_lower_exclusive,plateau_upper_inclusive,tp,fp,fn,tn,precision,recall,f1,accuracy
0.11415222,,0.11415222,34,9,0,12,0.79069767,1.0,0.88311688,0.83636364
0.14063842,0.11415222,0.16712463,34,9,0,12,0.79069767,1.0,0.88311688,0.83636364
0.17221729,0.16712463,0.17730996,33,9,1,12,0.78571429,0.97058824,0.86842105,0.81818182
0.17957787,0.17730996,0.18184578,33,9,1,12,0.78571429,0.97058824,0.86842105,0.81818182
0.18316939,0.18184578,0.18449301,33,9,1,12,0.78571429,0.97058824,0.86842105,0.81818182
0.19432294,0.18449301,0.20415287,32,9,2,12,0.7804878,0.94117647,0.85333333,0.8
0.21352299,0.20415287,0.22289312,32,9,2,12,0.7804878,0.94117647,0.85333333,0.8
0.22833185,0.22289312,0.23377058,32,8,2,13,0.8,0.94117647,0.86486486,0.81818182
0.23483343,0.23377058,0.23589627,31,8,3,13,0.79487179,0.91176471,0.84931507,0.8
0.23894233,0.23589627,0.24198839,31,8,3,13,0.79487179,0.91176471,0.84931507,0.8
0.24625883,0.24198839,0.25052926,31,7,3,14,0.81578947,0.91176471,0.86111111,0.81818182
0.2681551,0.25052926,0.28578094,31,7,3,14,0.81578947,0.91176471,0.86111111,0.81818182
0.28730251,0.28578094,0.28882408,30,7,4,14,0.81081081,0.88235294,0.84507042,0.8
0.3000896,0.28882408,0.31135511,30,7,4,14,0.81081081,0.88235294,0.84507042,0.8
0.31594086,0.31135511,0.3205266,29,7,5,14,0.80555556,0.85294118,0.82857143,0.78181818
0.32189035,0.3205266,0.32325411,27,7,7,14,0.79411765,0.79411765,0.79411765,0.74545455
0.32573712,0.32325411,0.32822013,27,6,7,15,0.81818182,0.79411765,0.80597015,0.76363636
0.33357346,0.32822013,0.33892679,27,6,7,15,0.81818182,0.79411765,0.80597015,0.76363636
0.35431467,0.33892679,0.36970255,27,6,7,15,0.81818182,0.79411765,0.80597015,0.76363636
0.37079878,0.36970255,0.37189502,26,6,8,15,0.8125,0.76470588,0.78787879,0.74545455
0.38934869,0.37189502,0.40680236,26,2,8,19,0.92857143,0.76470588,0.83870968,0.81818182
0.41324489,0.40680236,0.41968742,25,2,9,19,0.92592593,0.73529412,0.81967213,0.8
0.43480664,0.41968742,0.44992587,25,1,9,20,0.96153846,0.73529412,0.83333333,0.81818182
0.52906887,0.44992587,0.60821187,24,1,10,20,0.96,0.70588235,0.81355932,0.8
0.64057803,0.60821187,0.67294419,24,1,10,20,0.96,0.70588235,0.81355932,0.8
0.836472,0.67294419,0.99999982,24,1,10,20,0.96,0.70588235,0.81355932,0.8
0.99999985,0.99999982,0.99999988,23,1,11,20,0.95833333,0.67647059,0.79310345,0.78181818
0.99999994,0.99999988,1.0,17,1,17,20,0.94444444,0.5,0.65384615,0.67272727
1.00000006,1.0,1.00000012,9,1,25,20,0.9,0.26470588,0.40909091,0.52727273
1.00000018,1.00000012,1.00000024,2,1,32,20,0.66666667,0.05882353,0.10810811,0.4
1.00000024,1.00000024,,1,1,33,20,0.5,0.02941176,0.05555556,0.38181818
