case_id,action_status,flow_status,control_structure_status,status_reason,action_tp,action_fp,action_fn,action_precision,action_recall,action_f1,flow_tp,flow_fp,flow_fn,flow_precision,flow_recall,flow_f1,structure_tp,structure_fp,structure_fn,structure_precision,structure_recall,structure_f1,structure_coverage,granularity_evidence_status
1-1,scored,scored,scored,,4,1,5,0.8,0.4444444444444444,0.5714285714285714,0,4,12,0.0,0.0,0.0,0,2,2,0.0,0.0,0.0,0.8,not_reviewed
1-2,scored,scored,scored,,5,1,3,0.8333333333333334,0.625,0.7142857142857143,0,5,4,0.0,0.0,0.0,0,2,3,0.0,0.0,0.0,1.0,not_reviewed
1-3,unsupported,unsupported,unsupported,active inclusive gateway semantics are outside EvalGraph,,,,,,,,,,,,,,,,,,,,not_applicable
1-4,unsupported,unsupported,unsupported,combined converging/diverging gateway requires explicit expansion,,,,,,,,,,,,,,,,,,,,not_applicable
10-1,scored,scored,scored,,4,0,0,1.0,1.0,1.0,2,1,0,0.6666666666666666,1.0,0.8,1,0,0,1.0,1.0,1.0,1.0,not_reviewed
10-10,scored,scored,scored,,8,0,3,1.0,0.7272727272727273,0.8421052631578947,6,1,3,0.8571428571428571,0.6666666666666666,0.75,1,0,1,1.0,0.5,0.6666666666666666,1.0,not_reviewed
10-11,scored,scored,scored,,5,0,4,1.0,0.5555555555555556,0.7142857142857143,2,2,6,0.5,0.25,0.3333333333333333,2,0,2,1.0,0.5,0.6666666666666666,1.0,not_reviewed
10-12,scored,scored,scored,,3,1,2,0.75,0.6,0.6666666666666666,0,3,2,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0,1.0,not_reviewed
10-13,scored,scored,scored,,0,3,3,0.0,0.0,0.0,0,2,1,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,1.0,not_reviewed
10-14,scored,scored,scored,,0,2,10,0.0,0.0,0.0,0,0,4,0.0,0.0,0.0,1,0,3,1.0,0.25,0.4,1.0,not_reviewed
10-2,unsupported,unsupported,unsupported,active inclusive gateway semantics are outside EvalGraph,,,,,,,,,,,,,,,,,,,,not_applicable
10-3,unsupported,unsupported,unsupported,active inclusive gateway semantics are outside EvalGraph,,,,,,,,,,,,,,,,,,,,not_applicable
10-4,scored,scored,scored,,10,0,2,1.0,0.8333333333333334,0.9090909090909091,5,5,6,0.5,0.45454545454545453,0.47619047619047616,0,1,1,0.0,0.0,0.0,0.5,not_reviewed
10-5,scored,scored,scored,,4,0,0,1.0,1.0,1.0,0,3,2,0.0,0.0,0.0,0,0,0,,,,1.0,not_reviewed
10-6,scored,scored,scored,,4,0,0,1.0,1.0,1.0,2,1,0,0.6666666666666666,1.0,0.8,1,0,0,1.0,1.0,1.0,1.0,not_reviewed
10-7,scored,scored,scored,,5,3,3,0.625,0.625,0.625,3,4,3,0.42857142857142855,0.5,0.46153846153846156,1,0,0,1.0,1.0,1.0,1.0,not_reviewed
10-8,scored,scored,scored,,7,1,0,0.875,1.0,0.9333333333333333,4,3,0,0.5714285714285714,1.0,0.7272727272727273,0,1,1,0.0,0.0,0.0,1.0,not_reviewed
